Start	End	StartM	EndM	length	lengthM	ch	iid1	iid2	SNP_Dens
43275	45748	1.3076729774475098	1.3792120218276978	2473	0.07153904438018799	9	VLI007	I2860	345.68535565801767
16976	20517	0.5790960192680359	0.6813049912452698	3541	0.10220897197723387	10	VLI007	I23210	346.44708106336554
33624	36163	1.044327974319458	1.117251992225647	2539	0.07292401790618896	10	VLI007	I2445	348.17061276933816
51190	53328	1.5050770044326782	1.5898549556732178	2138	0.08477795124053955	10	VLI007	ULI001	252.18821270330963
20693	22318	0.7018899917602539	0.7730299830436707	1625	0.07113999128341675	10	VLI007	RISE98_noUDG.SG	228.42285621404054
17465	20420	0.6014890074729919	0.6718770265579224	2955	0.07038801908493042	13	VLI007	I21313	419.8157638780099
22309	26561	0.8736469745635986	0.9978460073471068	4252	0.1241990327835083	16	VLI007	I2450	342.35371280319663
9169	10661	0.40334698557853693	0.4648109972476959	1492	0.061464011669158936	16	VLI007	I0418	242.74367381533082
20828	22356	0.8719289898872375	0.9392110109329224	1528	0.06728202104568481	17	VLI007	I22052	227.1037605963829
56932	60011	1.8962459564208984	1.965116024017334	3079	0.06887006759643555	1	VLI007	I0443	447.07375895756445
30505	33669	0.9240109920501708	1.0084530115127563	3164	0.08444201946258545	2	VLI007	I23205	374.69497060073326
60765	65642	1.715572953224182	1.8201249837875368	4877	0.10455203056335448	2	VLI007	I19336	466.46631095746415
86967	88937	2.4115769863128658	2.477350950241089	1970	0.06577396392822266	2	VLI007	I27381	299.51060911423974
51620	54484	1.4932399988174438	1.5747129917144775	2864	0.08147299289703369	2	VLI007	I2447	351.527530554763
39300	42061	1.169137954711914	1.2309319972991943	2761	0.06179404258728027	2	VLI007	I11701	446.80682544765676
71930	74429	1.992459058761597	2.0601019859313965	2499	0.0676429271697998	2	VLI007	I4893	369.4399554482491
35933	38684	1.0745420455932615	1.135903000831604	2751	0.061360955238342285	2	VLI007	HSJ-A-1_38_noUDG.SG	448.33069976084687
38668	40772	1.134263038635254	1.2029869556427002	2104	0.06872391700744629	2	VLI007	I12412	306.15251452737044
30644	35449	0.9304149746894836	1.062646985054016	4805	0.13223201036453247	2	VLI007	RISE505_noUDG.SG	363.3764613238314
65265	67807	1.810588955879212	1.9023089408874512	2542	0.09171998500823976	2	VLI007	RISE505_noUDG.SG	277.14788655620004
61910	66073	1.6709489822387695	1.7404539585113523	4163	0.06950497627258301	3	VLI007	I7949	598.9499203155817
40688	43910	1.1267640590667725	1.2021230459213257	3222	0.07535898685455322	3	VLI007	I18493	427.5535187619531
20858	22529	0.7151690125465393	0.7752040028572083	1671	0.06003499031066895	4	VLI007	I2165	278.3376813010067
38541	41024	1.1738959550857544	1.2476680278778076	2483	0.07377207279205322	4	VLI007	I7949	336.57723119682635
3909	6052	0.17612500488758087	0.2523129880428314	2143	0.07618798315525055	5	VLI007	I5835	281.2779537204895
41574	44499	1.1897289752960205	1.2646299600601196	2925	0.07490098476409912	5	VLI007	I17981	390.51555987044713
5868	8291	0.25594499707221985	0.3301979899406433	2423	0.07425299286842346	7	VLI007	I0443	326.3168131543955
48355	51680	1.405733942985535	1.507025957107544	3325	0.10129201412200928	7	VLI007	I0443	328.2588493101675
51886	54186	1.520990967750549	1.5936110019683838	2300	0.07262003421783447	7	VLI007	RISE505_noUDG.SG	316.7170085738065
42845	46518	1.1796109676361084	1.2415239810943604	3673	0.06191301345825195	8	VLI007	Donkalnis6	593.2516921465484
